[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.482706s ]
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001109s ]
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001134s ]
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001127s ]
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000973s ]
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004736s ]
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000998s ]
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001096s ]
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ route_check ] --START--
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run CheckRoute Behavior [ RunTime:0.001358s ]
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001461s ]
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ app_begin ] --START--
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001061s ]
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run CheckLang Behavior [ RunTime:0.002457s ]
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003662s ]
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:58+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | NOTIC: [8] Use of undefined constant nav - assumed 'nav' CommonAction.class.php 第 86 行.
[ 2013-04-16T10:21:00+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `teach_task` [ RunTime:0.209488s ]
[ 2013-04-16T10:21:00+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `course` [ RunTime:0.209161s ]
[ 2013-04-16T10:21:00+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:21:00+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | NOTIC: [8] Use of undefined constant nav - assumed 'nav' CommonAction.class.php 第 86 行.
[ 2013-04-16T10:21:01+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `teach_task` [ RunTime:0.215023s ]
